ID,fully connected layer,recurrent layer,pooling layer,convolutional layer,deconvolutional layer,dropout layer,softmax layer,subsampling layer,gru layer
1001009,0,0,0,1,0,0,0,0,0
100514001,0,0,0,1,0,0,0,0,0
100740001,0,0,0,1,0,0,0,0,0
1003324001,0,0,0,1,0,0,0,0,0
1005409001,0,0,0,1,0,0,0,0,0
1005675001,0,0,0,1,0,0,0,0,0
1005726001,0,0,0,1,0,0,0,0,0
1007957001,1,0,0,0,0,0,0,0,0
10010093001,0,0,0,0,0,0,1,0,0
10010120001,0,0,0,1,0,0,0,0,0
10010337001,1,0,0,1,0,0,0,0,0
10010338001,0,0,0,1,0,0,0,0,0
10010555001,1,0,1,1,0,0,0,0,0
10010667001,1,0,0,1,0,0,0,0,0
10010896001,0,1,0,0,0,0,0,0,0
10010973001,0,0,0,1,0,0,0,0,0
10010980001,1,0,0,1,0,0,0,0,0
10011127001,1,0,0,1,0,0,0,0,0
10011343001,0,0,1,0,0,0,0,0,0
10011458001,1,0,1,1,0,0,0,0,0
10011466001,0,0,0,1,0,0,0,0,0
10011552001,1,0,0,1,0,0,0,0,0
10011666001,1,0,0,1,0,0,0,0,0
10011719001,1,0,1,0,0,0,1,0,0
10011741001,0,0,1,1,0,0,1,0,0
10011770001,1,0,0,0,0,0,0,0,0
10011789001,1,0,1,1,0,0,0,0,0
10011880001,1,0,0,1,0,0,1,0,0
10012288001,0,0,0,1,0,0,0,0,0
10012331001,0,0,1,1,0,0,0,0,0
10012491001,1,0,0,1,0,0,1,0,0
10012570001,1,0,1,1,0,0,1,0,0
10012611001,0,0,1,1,0,0,0,0,0
10012612001,1,0,1,1,0,0,0,0,0
10012675001,0,0,0,1,0,0,0,0,0
10012757001,0,0,1,1,0,0,0,0,0
10012771001,0,0,0,1,0,0,0,0,0
10012821001,0,0,1,1,0,0,0,0,0
10012884001,0,0,0,1,0,0,0,0,0
10012910001,0,0,0,1,0,0,0,0,0
10012970001,0,0,0,1,0,0,0,0,0
10013033001,1,0,0,1,0,0,0,0,0
10013080001,1,0,1,1,0,0,0,0,0
10013428001,1,0,0,1,0,0,0,0,0
10013437001,1,0,0,0,0,0,0,0,0
10013493001,0,0,1,0,0,0,0,0,0
10013889001,0,0,0,1,0,0,0,0,0
10014002001,1,0,1,1,0,0,1,0,0
10014003001,1,0,0,1,1,0,0,0,0
10014053001,0,0,0,0,0,0,1,0,0
10014128001,0,0,0,1,0,0,0,0,0
10014188001,0,0,1,1,0,0,0,0,0
10014197001,0,0,0,1,0,0,0,0,0
10014302001,0,0,1,1,0,0,0,0,0
10014305001,1,0,0,0,0,0,0,0,0
10014332001,0,0,0,1,0,0,0,0,0
10014436001,0,0,1,1,0,0,0,0,0
10014444001,0,0,0,0,0,0,1,0,0
10014551001,0,0,0,1,0,0,0,0,0
10014574001,1,0,0,0,0,0,0,0,0
10014670001,1,0,1,1,0,0,1,0,0
10014684001,1,0,0,1,0,0,0,0,0
10014843001,1,0,0,1,0,0,0,0,0
10014928001,1,0,1,1,0,1,0,0,0
10014978001,1,0,1,1,0,0,0,0,0
10014998001,0,0,0,1,0,0,0,0,0
10015177001,0,0,0,1,0,0,0,0,0
10015252001,1,0,1,1,0,0,1,0,0
10015361001,0,0,1,1,0,0,0,0,0
10015397001,0,0,0,1,0,0,0,0,0
10015472001,1,0,1,1,0,0,0,0,0
10015684001,0,0,1,1,0,0,0,0,0
10015828001,0,0,0,1,0,0,0,0,0
10015971001,0,0,0,0,0,0,1,0,0
10016061001,1,0,0,0,0,0,0,0,0
10016226001,1,0,1,1,0,0,1,0,0
10016438001,1,0,1,1,0,0,1,0,0
10016507001,1,0,0,1,0,0,1,0,0
10016585001,0,0,0,1,0,0,0,0,0
10016727001,1,0,0,0,0,0,0,0,0
10016754001,0,0,0,1,0,0,1,0,0
10016826001,1,1,0,0,0,0,1,0,0
10016829001,0,1,0,1,0,0,1,0,0
10016836001,1,0,0,1,0,0,0,0,0
10016842001,1,0,0,1,0,0,0,0,0
10016925001,1,0,0,1,0,0,0,0,0
10016932001,1,0,1,1,0,0,0,0,0
10016997001,1,0,1,1,0,0,0,0,0
10017019001,1,0,1,1,0,0,0,0,0
10017053001,1,0,0,1,0,0,0,0,0
10017095001,0,0,0,1,0,1,0,0,0
10017212001,1,0,1,1,0,0,0,0,0
10017224001,1,0,0,1,0,0,0,0,0
10017228001,1,0,1,1,1,0,0,0,0
10017234001,1,0,1,1,0,0,0,0,0
10017299001,1,0,1,1,0,1,0,0,0
10017380001,0,0,0,1,0,0,0,0,0
10017403001,0,0,0,1,0,0,0,0,0
10017432001,1,0,0,1,0,0,0,0,0
10017464001,1,0,1,1,0,0,0,0,0
10017523001,0,0,0,0,0,0,1,0,0
10017534001,1,0,1,1,0,0,0,0,0
10017590001,1,0,0,0,0,0,0,0,0
10017616001,0,0,1,1,1,0,0,0,0
10017710001,0,0,0,1,0,0,0,0,0
10017771001,0,0,0,1,0,0,0,0,0
10017913001,0,0,0,1,0,0,0,0,0
10017961001,1,0,1,1,0,0,1,0,0
10018020001,0,0,0,1,0,0,0,0,0
10018121001,1,0,0,1,0,0,0,0,0
10018209001,0,0,1,0,0,0,0,0,0
10018281001,0,0,1,1,0,0,0,0,0
10018322001,1,0,0,1,0,0,1,0,0
10018393001,1,0,0,1,0,0,0,0,0
10018395001,0,0,0,0,0,0,1,0,0
10018438001,1,0,1,1,0,0,0,1,0
10018439001,1,0,1,1,0,0,1,0,0
10018440001,1,0,0,1,0,0,0,0,0
10018443001,0,0,0,0,0,0,1,0,0
10018447001,0,0,0,1,0,0,0,0,0
10018705001,1,1,1,1,0,0,0,0,0
10018727001,0,0,0,1,0,0,0,0,0
10018847001,1,0,0,1,0,0,0,0,0
10018988001,1,0,0,1,0,0,0,0,0
10019005001,1,0,0,0,0,0,0,0,0
10019013001,1,0,1,1,0,0,0,0,0
10019016001,0,0,0,0,0,0,1,0,0
10019124001,1,0,0,0,0,0,0,0,0
10019202001,1,0,0,1,0,0,0,0,0
10019205001,1,0,1,1,0,0,0,0,0
10019343001,1,0,0,0,0,0,0,0,0
10019487001,1,0,0,1,0,0,0,0,0
10019552001,1,0,1,0,0,0,0,0,0
10019562001,1,0,0,1,0,0,0,0,0
10019570001,1,1,1,1,0,0,1,0,0
10019622001,0,0,0,1,0,0,0,0,0
10019655001,0,0,0,1,0,0,0,0,0
10019658001,1,0,0,1,0,0,0,0,0
10019664001,0,0,0,1,0,0,0,0,0
10019672001,0,0,0,1,0,0,0,0,0
10019674001,0,0,1,1,0,0,0,0,0
10019688001,1,0,1,1,0,0,0,0,0
10019691001,1,0,0,1,0,0,0,0,0
10019706001,0,0,1,1,0,0,0,0,0
10019724001,1,0,0,1,1,0,1,0,0
10019762001,0,0,1,1,0,0,0,0,0
10019764001,1,0,0,1,0,0,1,0,0
10019772001,1,0,0,0,0,0,0,0,0
10019774001,0,0,0,1,0,0,0,0,0
10019787001,1,0,0,1,0,0,0,0,0
10019810001,0,0,0,1,0,0,0,0,0
10019815001,0,0,0,1,0,0,0,0,0
10019838001,0,0,0,1,0,0,0,0,0
10019850001,1,0,0,1,0,0,0,0,0
10019865001,1,0,0,1,0,0,0,0,0
10019894001,0,1,0,1,0,0,0,0,0
10019902001,0,0,0,1,0,0,0,0,0
10019932001,0,0,0,1,0,0,0,0,0
10020001001,0,0,0,1,0,0,0,0,0
10020039001,0,0,0,1,0,0,0,0,0
10020052001,0,0,0,0,0,0,1,0,0
10020109001,1,0,1,1,0,0,0,0,0
10020118001,1,0,0,1,0,0,0,0,0
10020152001,1,0,0,0,0,0,1,0,0
10020202001,1,0,0,1,0,0,0,0,0
10020203001,0,0,0,1,0,0,0,0,0
10020212001,1,0,0,0,0,0,0,0,0
10020216001,1,0,1,1,0,0,1,0,0
10020220001,0,0,0,0,0,0,1,0,0
10020227001,0,0,0,1,0,0,0,0,0
10020257001,1,0,0,1,0,0,0,0,0
10020260001,0,0,0,1,0,0,0,0,0
10020272001,0,0,0,1,0,0,0,0,0
10020326001,1,0,0,1,0,0,0,0,0
10020340001,0,0,1,1,0,0,0,0,0
10020349001,1,0,1,1,1,0,0,0,0
10020437001,1,0,0,1,0,0,0,0,0
10020443001,1,0,0,1,0,0,0,0,0
10020462001,1,0,1,1,1,0,0,0,0
10020470001,1,0,1,1,1,1,0,0,0
10020492001,0,0,0,1,0,0,0,0,0
10020501001,0,0,1,0,0,0,0,0,0
10020527001,1,0,1,1,0,0,0,0,0
10020557001,1,0,0,1,0,0,0,0,0
10020585001,0,0,1,1,0,0,0,0,0
10020613001,0,0,0,1,0,0,0,0,0
10020683001,1,0,1,1,0,0,0,0,0
10020684001,1,1,0,0,0,0,1,0,0
10020686001,0,0,0,1,0,0,0,0,0
10020696001,0,0,0,1,0,0,0,0,0
10020716001,0,0,1,1,1,0,0,0,0
10020719001,1,0,1,1,0,0,1,0,0
10020758001,0,0,0,1,0,0,1,0,0
10020779001,0,0,0,1,0,0,0,0,0
10020856001,1,0,0,1,0,0,0,0,0
10020869001,0,0,0,1,0,0,0,0,0
10020919001,1,0,0,0,0,0,0,0,0
10020927001,1,0,1,1,0,0,1,1,0
10020974001,1,0,1,1,0,0,0,0,0
10020988001,0,0,0,1,0,0,0,0,0
10021035001,1,0,0,1,0,0,0,0,0
10021038001,0,0,0,1,0,0,0,0,0
10021063001,0,0,0,1,0,0,0,0,0
10021073001,1,0,0,0,0,0,0,0,0
10021084001,1,0,1,1,0,0,0,0,0
10021101001,1,0,1,1,0,0,0,0,0
10021119001,1,0,0,1,0,0,1,0,0
10021120001,0,0,1,1,0,0,0,0,0
10021122001,0,0,0,0,0,1,0,0,0
10021138001,1,0,0,0,0,0,1,0,0
10021210001,1,0,0,1,0,0,0,0,0
10021214001,0,0,1,1,1,0,0,0,0
10021220001,0,0,1,1,0,0,0,0,0
10021224001,0,0,0,1,1,0,0,0,0
10021253001,1,0,1,1,0,0,0,0,0
10021255001,0,0,0,1,0,0,0,0,0
10021257001,0,0,0,0,0,0,1,0,0
10021262001,0,0,1,1,0,0,0,0,0
10021266001,1,0,0,1,0,0,0,0,0
10021285001,0,0,1,1,0,0,0,1,0
10021299001,1,0,0,1,0,0,0,0,0
10021432001,0,0,0,1,0,0,0,0,0
10021435001,1,0,0,0,0,0,0,0,0
10021498001,0,0,0,1,0,0,0,0,0
10021511001,1,0,0,1,0,0,0,1,0
10021682001,1,0,0,1,0,0,0,0,0
10021750001,1,0,1,1,0,0,1,0,0
10021797001,0,0,0,1,1,0,0,0,0
10021916001,0,0,0,1,0,0,0,0,0
10021937001,0,0,0,1,0,0,0,0,0
10021951001,1,0,0,0,0,0,0,0,0
10022004001,0,0,0,1,0,1,0,0,0
10022028001,0,0,0,1,0,0,0,0,0
10022052001,1,0,1,0,0,0,0,0,0
10022141001,1,1,1,1,0,0,0,0,0
10022144001,1,0,0,0,0,0,0,0,0
10022201001,1,0,1,1,0,0,1,0,0
10022203001,1,0,1,1,0,0,1,0,0
10022297001,0,0,0,1,1,0,0,0,0
10022316001,1,0,0,1,0,0,0,0,0
10022517001,0,0,0,1,0,0,0,0,0
10022518001,0,0,0,1,0,0,0,0,0
10022537001,1,0,0,0,0,0,0,0,0
10022590001,0,0,0,1,0,0,0,0,0
10022610001,1,0,1,1,0,0,0,1,0
10022624001,1,0,0,1,0,0,0,0,0
10022633001,1,0,1,1,0,0,1,0,0
10022680001,1,0,0,1,0,0,0,0,0
10022701001,0,0,0,1,0,0,0,0,0
10022713001,0,0,1,0,0,0,0,0,0
10022739001,0,0,0,1,0,0,0,0,0
10022763001,0,0,1,1,0,0,0,0,0
10022779001,0,0,1,1,0,0,0,0,0
10022783001,0,0,1,0,0,0,0,0,0
10022796001,1,0,1,1,0,0,0,0,0
10022804001,1,0,1,1,0,0,0,0,0
10022843001,0,0,0,1,0,0,0,0,0
10022868001,0,0,0,1,0,0,0,0,0
10022883001,0,0,1,1,0,0,0,0,0
10022906001,1,0,0,1,0,0,0,0,0
10022936001,0,1,0,0,0,0,1,0,0
10023006001,0,0,0,1,0,0,0,0,0
10023008001,0,0,0,1,0,0,0,0,0
10023036001,1,0,1,1,0,0,0,0,0
10023055001,0,0,0,1,0,0,0,0,0
10023096001,0,0,0,1,0,0,0,0,0
10023237001,1,0,1,1,0,0,0,0,0
10023269001,1,0,1,0,0,0,0,0,0
10023309001,1,0,0,0,0,1,0,0,0
10023342001,0,0,0,1,0,0,0,0,0
10023389001,0,0,1,1,0,0,0,0,0
10023427001,1,0,1,1,0,0,0,0,0
10023445001,0,0,0,1,0,0,0,1,0
10023447001,0,0,0,1,0,0,0,0,0
10023496001,1,0,0,1,0,0,0,0,0
10023501001,1,0,1,1,0,0,0,0,0
10023561001,0,0,0,1,0,0,0,0,0
10023565001,0,0,1,1,0,0,0,0,0
10023577001,1,0,1,1,0,0,0,0,0
10023587001,1,0,0,0,0,0,0,0,0
10023616001,1,0,0,0,0,0,0,0,0
10023632001,1,0,0,0,0,0,0,0,0
10023640001,0,0,1,1,0,0,0,0,0
10023640002,1,0,1,1,0,1,1,0,0
10023642001,1,0,0,0,0,0,0,0,0
10023685001,1,0,1,1,0,0,0,0,0
10023726001,1,0,0,1,0,0,0,0,0
10023730001,0,0,1,1,0,0,0,0,0
10023740001,1,0,1,1,1,0,0,0,0
10023744001,0,0,0,1,0,0,0,0,0
10023750001,0,0,0,1,0,0,0,0,0
10023765001,0,0,0,1,0,0,0,0,0
10023772001,0,0,0,1,0,0,0,0,0
10023774001,1,0,1,0,0,0,0,0,0
10023789001,0,0,0,1,0,0,0,0,0
10023820001,0,0,0,1,0,0,0,0,0
10023830001,1,0,0,0,0,0,0,0,0
10023857001,1,0,0,1,0,0,0,0,0
10023859001,1,0,1,1,0,0,0,0,0
10023860001,0,0,0,1,0,0,0,0,0
10023865001,1,0,0,0,0,0,0,0,0
10023897001,1,1,0,1,0,0,0,0,0
10023900001,1,0,0,1,0,0,0,0,0
10023927001,1,0,0,1,0,0,1,0,0
10023933001,0,0,0,0,0,1,0,0,0
10023935001,1,0,0,0,0,0,0,0,0
10023945001,0,0,0,0,0,0,1,0,0
10023982001,1,0,0,1,0,0,0,0,0
10024013001,1,0,0,0,0,0,0,0,0
10024019001,0,0,1,1,0,1,0,0,0
10024024001,1,0,1,1,1,0,0,0,0
10024028001,1,0,0,0,0,0,0,0,0
10024040001,0,0,0,1,0,1,0,0,0
10024047001,1,0,1,1,1,0,0,0,0
10024089001,1,0,0,1,0,0,0,0,0
10024099001,1,0,1,1,0,0,0,0,0
10024111001,1,0,0,1,0,0,0,0,0
10024160001,1,0,0,1,0,0,0,0,0
10024166001,1,0,1,1,0,0,1,0,0
10024187001,1,0,0,0,0,0,0,0,0
10024206001,1,0,1,1,0,0,0,0,0
10024217001,1,0,1,1,0,0,0,0,0
10024223001,1,0,1,1,0,1,1,0,0
10024248001,1,0,1,1,0,0,0,0,0
10024269001,1,0,0,0,0,1,1,0,0
10024316001,0,0,0,0,0,0,1,0,0
10024325001,0,0,1,0,0,0,0,0,0
10024328001,0,0,0,1,0,0,0,0,0
10024331001,0,0,1,1,0,0,0,0,0
10024348001,0,0,1,1,0,0,0,0,0
10024352001,1,0,0,1,0,1,0,0,0
10024358001,0,0,1,1,0,0,0,0,0
10024376001,1,0,0,1,0,0,0,0,0
10024381001,1,0,1,1,0,0,0,0,0
10024409001,0,1,0,0,0,0,0,0,0
10024418001,0,0,0,1,0,0,0,0,0
10024476001,1,0,1,1,0,0,0,0,0
10024485001,0,0,0,1,0,0,0,0,0
10024581001,1,0,1,1,0,0,0,0,0
10024654001,0,0,0,1,0,0,0,0,0
10024685001,0,0,1,1,0,0,0,0,0
10024688001,0,0,0,0,0,0,1,0,0
10024693001,1,0,0,0,0,0,0,0,0
10024718001,0,0,0,1,1,0,0,0,0
10024746001,1,0,0,1,0,0,1,0,0
10024861001,0,0,0,1,0,0,0,0,0
10024866001,1,0,1,1,0,1,1,0,0
10024882001,1,0,0,1,0,0,1,0,0
10024890001,0,0,0,1,0,0,1,0,0
10024895001,1,0,0,1,0,0,0,0,0
10024918001,1,0,0,1,0,0,0,0,0
10024932001,1,0,1,1,0,0,0,0,0
10024989001,1,0,0,1,1,0,0,0,0
10025023001,1,0,0,0,0,0,0,0,0
10025033001,0,0,1,0,0,0,0,0,0
10025062001,1,0,0,0,0,0,0,0,0
10025064001,1,0,0,1,0,0,0,0,0
10025100001,0,0,0,1,0,0,1,0,0
10025116001,0,0,0,1,0,0,0,0,0
10025187001,0,0,0,1,0,0,0,0,0
10025192001,0,0,0,0,0,0,1,0,0
10025215001,1,0,0,1,0,0,0,0,0
10025237001,1,0,0,1,0,0,0,0,0
10025252001,1,0,1,1,0,0,1,0,0
10025253001,0,0,0,1,0,0,0,0,0
10025265001,0,0,0,1,0,0,0,0,0
10025322001,0,0,0,1,0,0,0,0,0
10025427001,1,0,0,1,0,0,0,0,0
10025469001,1,0,0,1,0,0,0,0,0
10025484001,1,0,0,1,0,1,0,0,0
10025498001,1,0,0,1,0,0,0,0,0
10025502001,1,0,0,1,0,0,0,0,0
10025522001,1,0,0,1,0,0,0,0,0
10025617001,1,0,1,1,0,0,0,0,0
10025631001,1,0,1,1,0,0,0,0,0
10025657001,0,1,0,0,0,0,0,0,0
10025764001,1,0,0,0,0,0,0,0,0
10025781001,1,0,0,1,0,0,0,0,0
10025806001,1,0,0,1,1,0,0,0,0
10025817001,0,0,0,1,0,0,0,0,0
10025845001,1,0,0,1,0,0,0,0,0
10025856001,1,0,0,0,0,0,0,0,0
10025871001,0,0,0,1,0,0,0,0,0
10025879001,1,0,0,0,0,0,0,0,0
10025884001,1,0,0,0,0,0,0,0,0
10025929001,0,0,1,0,0,0,0,0,0
10026004001,1,0,0,0,0,0,0,0,0
10026024001,1,0,0,1,0,0,0,0,0
10026056001,0,0,0,0,0,0,1,0,0
10026064001,1,0,0,1,0,0,0,0,0
10026066001,1,0,1,1,0,0,0,0,0
10026069001,1,0,1,1,0,0,0,1,0
10026142001,1,0,1,1,0,0,1,0,0
10026196001,0,0,1,1,0,0,1,0,0
10026198001,1,0,0,1,0,0,0,0,0
10026208001,0,0,0,1,0,0,0,0,0
10026237001,0,1,0,0,0,0,0,0,0
10026280001,1,1,0,1,0,0,0,0,0
10026281001,1,0,0,1,0,0,0,0,0
10026335001,1,0,0,1,0,0,0,0,0
10026477001,1,0,0,1,0,0,0,0,0
10026497001,1,0,0,1,0,0,0,0,0
10026535001,0,0,0,1,0,0,0,0,0
10026569001,0,0,1,1,0,0,0,0,0
10026584001,0,0,0,1,1,0,0,0,0
10026601001,1,0,1,1,0,0,0,0,0
10026656001,1,0,0,1,0,0,0,0,0
10026737001,1,0,0,1,0,0,0,0,0
10026740001,1,0,1,1,0,1,0,0,0
10026748001,1,0,0,1,0,0,1,0,0
10026771001,0,1,0,0,0,0,0,0,0
10026819001,0,0,0,1,0,0,0,0,0
10026867001,1,0,1,1,0,0,0,0,0
10026881001,0,0,0,1,0,0,0,0,0
10026891001,0,1,0,1,0,0,0,0,0
10026905001,1,0,0,1,0,0,1,0,0
10026916001,0,0,1,1,0,0,0,0,0
10026917001,0,0,0,0,0,0,1,0,0
10026951001,1,0,0,1,0,0,0,0,0
10027127001,1,0,0,0,0,1,1,0,0
10027190001,1,0,1,1,0,0,0,0,0
10027216001,0,0,0,1,0,0,0,0,0
10027248001,0,0,0,1,0,0,0,0,0
10027269001,0,0,0,0,0,0,1,0,0
10027299001,1,0,0,1,0,0,0,0,0
10027300001,1,0,0,1,0,0,0,0,0
10027333001,1,0,0,1,0,0,0,0,0
10027349001,0,0,0,1,0,0,0,0,0
10027366001,1,0,1,1,0,0,0,0,0
10027398001,1,0,0,1,0,0,0,0,0
10027414001,0,0,0,1,0,0,0,0,0
10027456001,0,0,0,1,0,0,1,0,0
10027478001,1,0,0,0,0,0,0,0,0
10027550001,1,0,1,1,0,0,0,0,0
10027584001,1,0,0,1,0,0,0,0,0
10027652001,0,1,0,0,0,0,0,0,0
10027754001,1,0,0,1,0,0,0,0,0
10027901001,0,0,1,0,0,0,0,0,0
10027906001,1,0,0,0,0,0,0,0,0
10027957001,0,0,1,0,0,0,0,0,0
10028226001,0,0,0,1,0,0,0,0,0
10028312001,0,0,1,1,0,0,0,0,0
10028327001,1,1,0,0,0,0,0,0,0
10028678001,1,0,0,1,0,0,0,0,0
10028681001,1,1,0,0,0,0,0,0,0
10028694001,0,0,0,0,0,0,1,0,0
10028712001,1,0,1,1,0,0,0,0,0
10028749001,1,0,0,0,0,0,0,0,0
10028784001,0,0,0,0,0,0,1,0,0
10028823001,1,0,1,1,0,0,0,0,0
10028837001,1,0,1,0,0,0,0,0,0
10028847001,0,0,0,1,0,0,0,0,0
10028879001,1,0,1,1,0,0,0,0,0
10028901001,1,0,1,1,0,0,0,0,1
10028930001,1,0,0,1,0,0,0,0,0
10028931001,0,0,0,1,0,0,0,0,0
10028946001,0,0,0,1,0,0,0,0,0
10028978001,0,0,0,1,0,0,0,0,0
10029077001,0,0,0,0,0,0,0,1,0
10029099001,1,0,0,1,0,0,0,0,0
10029127001,1,0,1,1,0,0,1,0,0
10029134001,0,0,0,0,0,0,1,0,0
10029217001,0,0,0,1,0,0,0,0,0
10029270001,1,0,0,1,0,0,0,0,0
10029303001,0,0,1,1,0,0,0,0,0
10029327001,1,0,1,1,0,0,0,0,0
10029345001,0,0,1,1,0,0,0,0,0
10029454001,1,0,0,1,0,0,0,0,0
10029480001,1,0,1,1,0,0,0,0,0
10029495001,1,0,0,0,0,0,1,0,0
10029520001,1,0,0,1,0,0,0,0,0
10029527001,1,0,1,1,0,0,0,0,0
10029554001,1,0,0,0,0,0,0,0,0
10029644001,1,0,0,1,0,0,0,0,0
10029678001,0,0,0,1,0,0,0,0,0
10029689001,1,0,1,1,0,0,0,0,0
10029735001,1,0,1,1,0,0,0,0,0
10029807001,0,0,0,1,0,0,1,0,0
10029821001,1,0,1,1,0,1,0,0,0
10029845001,0,0,1,1,0,0,0,0,0
10029859001,0,0,0,1,0,0,0,0,0
10029868001,0,0,0,0,0,1,1,0,0
10029874001,0,1,0,1,0,0,0,0,0
10029879001,0,0,0,1,0,0,0,0,0
10029909001,0,0,0,1,0,0,1,0,0
